# b1soil_version=1.0 nx=5 ny=5 cellSize_m=2.0 srcDepth_m=0.1 soilDepth_m=2.0 detHeight_m=1.0 detRadius_m=0.15 soilDensity_g_cm3=1.6 nBins=48 emin_MeV=0.01 emax_MeV=3.0
# python_mc (numpy): формат идентичен Geant4 b1soil
#run_type,src_index,src_x_m,src_y_m,src_z_m,det_mode,det_index,det_x_m,det_y_m,det_z_m,n_decays,n_in,edep_sum_MeV,edep_rms_MeV,sp_000,sp_001,sp_002,sp_003,sp_004,sp_005,sp_006,sp_007,sp_008,sp_009,sp_010,sp_011,sp_012,sp_013,sp_014,sp_015,sp_016,sp_017,sp_018,sp_019,sp_020,sp_021,sp_022,sp_023,sp_024,sp_025,sp_026,sp_027,sp_028,sp_029,sp_030,sp_031,sp_032,sp_033,sp_034,sp_035,sp_036,sp_037,sp_038,sp_039,sp_040,sp_041,sp_042,sp_043,sp_044,sp_045,sp_046,sp_047
MODEL,-1,nan,nan,nan,all,0,-4.0000,-4.0000,1.0000,4000000,1185,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,9,19,11,18,21,26,16,21,36,45,78,105,774,0,0,0,0,0,0,0,0,0,0,0,0
MODEL,-1,nan,nan,nan,all,1,-2.0000,-4.0000,1.0000,4000000,1955,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,6,18,28,17,23,19,41,31,50,58,106,155,1393,0,0,0,0,0,0,0,0,0,0,0,0
MODEL,-1,nan,nan,nan,all,2,0.0000,-4.0000,1.0000,4000000,1682,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,7,19,25,24,19,28,29,30,43,66,96,158,1133,0,0,0,0,0,0,0,0,0,0,0,0
MODEL,-1,nan,nan,nan,all,3,2.0000,-4.0000,1.0000,4000000,1097,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,6,16,16,12,19,22,20,23,41,47,74,113,683,0,0,0,0,0,0,0,0,0,0,0,0
MODEL,-1,nan,nan,nan,all,4,4.0000,-4.0000,1.0000,4000000,687,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,7,10,16,13,17,24,16,21,21,33,44,75,384,0,0,0,0,0,0,0,0,0,0,0,0
MODEL,-1,nan,nan,nan,all,5,-4.0000,-2.0000,1.0000,4000000,1982,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,10,24,23,28,28,30,31,40,37,89,102,158,1373,0,0,0,0,0,0,0,0,0,0,0,0
MODEL,-1,nan,nan,nan,all,6,-2.0000,-2.0000,1.0000,4000000,7055,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,7,33,56,33,52,57,53,80,110,154,209,305,5892,0,0,0,0,0,0,0,0,0,0,0,0
MODEL,-1,nan,nan,nan,all,7,0.0000,-2.0000,1.0000,4000000,4211,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,12,30,37,37,38,56,56,63,97,121,194,282,3183,0,0,0,0,0,0,0,0,0,0,0,0
MODEL,-1,nan,nan,nan,all,8,2.0000,-2.0000,1.0000,4000000,2508,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,7,24,28,30,22,33,40,27,56,99,129,191,1812,0,0,0,0,0,0,0,0,0,0,0,0
MODEL,-1,nan,nan,nan,all,9,4.0000,-2.0000,1.0000,4000000,1161,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,5,20,18,16,11,25,25,26,31,46,65,115,748,0,0,0,0,0,0,0,0,0,0,0,0
