# b1soil_version=1.0 nx=5 ny=5 cellSize_m=2.0 srcDepth_m=0.1 soilDepth_m=2.0 detHeight_m=1.0 detRadius_m=0.15 soilDensity_g_cm3=1.6 nBins=48 emin_MeV=0.01 emax_MeV=3.0
# python_mc (numpy): формат идентичен Geant4 b1soil
#run_type,src_index,src_x_m,src_y_m,src_z_m,det_mode,det_index,det_x_m,det_y_m,det_z_m,n_decays,n_in,edep_sum_MeV,edep_rms_MeV,sp_000,sp_001,sp_002,sp_003,sp_004,sp_005,sp_006,sp_007,sp_008,sp_009,sp_010,sp_011,sp_012,sp_013,sp_014,sp_015,sp_016,sp_017,sp_018,sp_019,sp_020,sp_021,sp_022,sp_023,sp_024,sp_025,sp_026,sp_027,sp_028,sp_029,sp_030,sp_031,sp_032,sp_033,sp_034,sp_035,sp_036,sp_037,sp_038,sp_039,sp_040,sp_041,sp_042,sp_043,sp_044,sp_045,sp_046,sp_047
SENSITIVITY,0,-4.0000,-4.0000,-0.1000,all,0,-4.0000,-4.0000,1.0000,600000,2813,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,11,18,14,17,15,16,24,43,56,57,82,2453,0,0,0,0,0,0,0,0,0,0,0,0
SENSITIVITY,0,-4.0000,-4.0000,-0.1000,all,1,-2.0000,-4.0000,1.0000,600000,669,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,6,6,9,1,6,10,24,23,26,45,505,0,0,0,0,0,0,0,0,0,0,0,0
SENSITIVITY,0,-4.0000,-4.0000,-0.1000,all,2,0.0000,-4.0000,1.0000,600000,213,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,3,2,7,2,4,7,13,19,147,0,0,0,0,0,0,0,0,0,0,0,0
SENSITIVITY,0,-4.0000,-4.0000,-0.1000,all,3,2.0000,-4.0000,1.0000,600000,94,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,2,1,1,6,10,10,56,0,0,0,0,0,0,0,0,0,0,0,0
SENSITIVITY,0,-4.0000,-4.0000,-0.1000,all,4,4.0000,-4.0000,1.0000,600000,46,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,0,0,1,2,2,5,11,18,0,0,0,0,0,0,0,0,0,0,0,0
SENSITIVITY,0,-4.0000,-4.0000,-0.1000,all,5,-4.0000,-2.0000,1.0000,600000,677,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,9,6,8,11,15,4,16,20,33,35,511,0,0,0,0,0,0,0,0,0,0,0,0
SENSITIVITY,0,-4.0000,-4.0000,-0.1000,all,6,-2.0000,-2.0000,1.0000,600000,382,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,11,1,4,11,4,17,19,32,272,0,0,0,0,0,0,0,0,0,0,0,0
SENSITIVITY,0,-4.0000,-4.0000,-0.1000,all,7,0.0000,-2.0000,1.0000,600000,164,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,3,4,1,1,3,6,4,12,13,16,92,0,0,0,0,0,0,0,0,0,0,0,0
SENSITIVITY,0,-4.0000,-4.0000,-0.1000,all,8,2.0000,-2.0000,1.0000,600000,71,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,2,0,2,2,2,6,11,40,0,0,0,0,0,0,0,0,0,0,0,0
SENSITIVITY,0,-4.0000,-4.0000,-0.1000,all,9,4.0000,-2.0000,1.0000,600000,46,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,5,3,0,5,4,6,4,15,0,0,0,0,0,0,0,0,0,0,0,0
